sample_id,component,target_nucleotide_index,reverse_target_nucleotide_index,target_nucleotide_class,repeat_masked_target,left_logp_a,right_logp_a,left_logp_c,right_logp_c,left_logp_g,right_logp_g,left_logp_t,right_logp_t
60,cds,82,172,3,False,-1.703125,-1.4765625,-1.671875,-1.4921875,-1.2265625,-1.65625,-1.09375,-1.03125
61,upstream,49,205,0,False,-1.8203125,-1.5859375,-1.0078125,-1.15625,-1.5859375,-1.078125,-1.3125,-1.96875
62,downstream,74,180,3,False,-0.87890625,-8.6875,-1.765625,-5.84375,-2.609375,-9.0625,-1.078125,-0.0032196044921875
63,enhancer,181,73,2,False,-1.1015625,-0.9375,-1.703125,-1.7421875,-1.8515625,-1.7421875,-1.109375,-1.3515625
64,ncrna,211,43,2,False,-2.203125,-1.296875,-2.953125,-1.859375,-0.2177734375,-1.3046875,-3.375,-1.203125
65,cds,32,222,3,False,-1.0546875,-1.1796875,-1.7109375,-1.6484375,-1.8984375,-1.75,-1.1328125,-1.1171875
66,upstream,2,252,3,False,-1.578125,-1.1875,-1.2578125,-1.7734375,-1.234375,-1.78125,-1.5234375,-1.0390625
67,downstream,107,147,0,False,-1.234375,-1.09375,-1.890625,-1.8515625,-1.5625,-1.875,-1.0546875,-1.0390625
68,enhancer,171,83,2,False,-2.640625,-1.703125,-4.84375,-1.7734375,-0.09814453125,-1.140625,-4.21875,-1.109375
69,ncrna,205,49,2,False,-1.140625,-2.171875,-2.546875,-1.984375,-0.87890625,-1.8671875,-1.671875,-0.5234375
70,cds,103,151,3,False,-1.4296875,-1.140625,-1.5,-1.1328125,-1.3203125,-1.640625,-1.3046875,-1.8046875
71,upstream,23,231,1,False,-1.1875,-1.828125,-1.5625,-0.91796875,-1.09375,-1.5859375,-1.8828125,-1.453125
72,downstream,215,39,2,False,-1.09375,-1.4921875,-1.578125,-1.7890625,-1.2421875,-0.796875,-1.7734375,-1.84375
73,enhancer,225,29,3,False,-1.078125,-1.1015625,-1.328125,-1.2890625,-3.171875,-1.75,-1.0390625,-1.5234375
74,ncrna,82,172,1,False,-1.78125,-2.640625,-1.53125,-0.361328125,-1.3984375,-2.296875,-1.0,-2.03125
75,cds,241,13,1,False,-1.421875,-1.9140625,-1.2890625,-0.8203125,-1.6953125,-1.171875,-1.203125,-2.28125
76,upstream,4,250,0,False,-1.28125,-1.0546875,-1.4921875,-1.28125,-1.296875,-1.515625,-1.4921875,-1.875
77,downstream,225,29,3,False,-1.3046875,-1.3046875,-1.765625,-1.765625,-1.28125,-1.8359375,-1.2734375,-0.921875
78,enhancer,97,157,3,False,-5.125,-1.8828125,-3.984375,-0.97265625,-5.46875,-2.359375,-0.029052734375,-0.98046875
79,ncrna,113,141,0,False,-1.234375,-1.6328125,-1.109375,-1.4921875,-2.015625,-1.0078125,-1.3984375,-1.546875
80,cds,170,84,3,False,-0.94921875,-1.7265625,-2.078125,-1.046875,-1.453125,-1.7109375,-1.375,-1.234375
81,upstream,242,12,1,True,-1.578125,-1.6484375,-1.1953125,-0.83984375,-0.984375,-1.5,-2.140625,-1.875
82,downstream,224,30,2,False,-1.421875,-1.0625,-1.9375,-1.5234375,-1.3984375,-1.6953125,-1.0,-1.375
83,enhancer,177,77,2,False,-2.375,-1.8203125,-1.171875,-0.66796875,-1.109375,-1.359375,-1.3125,-2.6875
84,ncrna,148,106,3,False,-3.90625,-2.953125,-1.984375,-0.77734375,-3.25,-3.453125,-0.21875,-0.78125
85,cds,233,21,2,False,-5.0625,-0.89453125,-6.1875,-1.9609375,-0.0091552734375,-1.8828125,-7.25,-1.2109375
86,upstream,19,235,1,False,-1.9140625,-2.859375,-0.80859375,-1.125,-1.5234375,-0.671875,-1.671875,-2.234375
87,downstream,95,159,0,False,-1.25,-1.1953125,-1.5390625,-1.7109375,-1.5859375,-1.734375,-1.2265625,-1.078125
88,enhancer,222,32,0,False,-0.7421875,-0.515625,-2.5625,-3.078125,-0.95703125,-1.171875,-2.796875,-3.09375
89,ncrna,242,12,0,False,-1.2265625,-2.375,-1.7734375,-0.2734375,-1.9921875,-3.046875,-0.91796875,-2.3125
90,cds,236,18,2,False,-1.3203125,-1.6171875,-1.2734375,-1.4453125,-1.5,-1.3203125,-1.46875,-1.203125
91,upstream,124,130,3,False,-1.5859375,-2.53125,-1.15625,-0.9375,-0.93359375,-1.1171875,-2.4375,-1.59375
92,downstream,107,147,2,False,-2.515625,-1.796875,-2.78125,-1.578125,-0.193359375,-0.46875,-3.4375,-6.4375
93,enhancer,14,240,1,False,-0.9609375,-1.40625,-1.5390625,-1.4296875,-2.484375,-1.671875,-1.140625,-1.1171875
94,ncrna,105,149,1,True,-2.234375,-1.703125,-1.234375,-1.0859375,-1.078125,-1.7109375,-1.3359375,-1.203125
95,cds,213,41,2,False,-1.578125,-1.125,-1.6015625,-1.4140625,-1.8125,-1.53125,-0.84765625,-1.53125
96,upstream,229,25,0,False,-0.9453125,-1.21875,-1.9140625,-1.5703125,-1.640625,-1.578125,-1.3046875,-1.234375
97,downstream,188,66,2,False,-3.375,-1.9609375,-8.375,-5.59375,-0.035888671875,-0.1591796875,-7.40625,-5.90625
98,enhancer,231,23,0,False,-2.015625,-1.171875,-1.765625,-1.7578125,-1.796875,-1.703125,-0.63671875,-1.0859375
99,ncrna,73,181,0,False,-0.0022430419921875,-4.0,-7.28125,-3.25,-6.65625,-3.421875,-8.3125,-0.09375
100,cds,118,136,3,False,-6.96875,-1.390625,-1.0546875,-1.7265625,-7.34375,-1.875,-0.4296875,-0.8671875
101,upstream,113,141,2,False,-2.734375,-2.9375,-1.84375,-3.421875,-0.349609375,-0.09521484375,-2.640625,-5.25
102,downstream,23,231,2,False,-1.140625,-1.296875,-1.546875,-2.984375,-1.296875,-0.78125,-1.640625,-1.515625
103,enhancer,226,28,1,False,-7.65625,-1.1328125,-0.006622314453125,-1.359375,-5.78125,-1.671875,-5.78125,-1.453125
104,ncrna,153,101,2,False,-4.21875,-5.78125,-5.65625,-5.0625,-0.019775390625,-0.01165771484375,-6.5,-6.09375
105,cds,37,217,0,False,-1.4609375,-1.1015625,-1.671875,-1.46875,-1.6015625,-1.375,-0.97265625,-1.6875
106,upstream,234,20,2,False,-3.96875,-1.7578125,-5.25,-1.28125,-0.0262451171875,-1.1015625,-6.46875,-1.53125
107,downstream,227,27,3,False,-1.2890625,-1.46875,-1.75,-1.1875,-1.3828125,-1.3203125,-1.203125,-1.6171875
108,enhancer,0,254,3,True,-1.296875,-2.8125,-1.4609375,-1.9140625,-1.4765625,-4.625,-1.3203125,-0.2451171875
109,ncrna,78,176,1,False,-5.5625,-5.84375,-0.0634765625,-0.0177001953125,-6.28125,-6.0,-2.890625,-4.40625
110,cds,84,170,0,False,-0.91015625,-1.1015625,-1.5234375,-1.828125,-1.5234375,-1.8203125,-1.828125,-1.0703125
111,upstream,163,91,3,True,-2.25,-2.140625,-1.359375,-0.77734375,-0.70703125,-1.3046875,-1.9375,-1.8828125
112,downstream,83,171,1,False,-1.0234375,-1.3359375,-1.4609375,-1.203125,-2.640625,-1.578125,-1.0859375,-1.46875
113,enhancer,227,27,2,False,-1.7890625,-1.15625,-1.6953125,-2.546875,-1.390625,-1.4296875,-0.91796875,-1.0
114,ncrna,155,99,1,False,-8.625,-6.8125,-0.00060272216796875,-0.002532958984375,-8.75,-7.90625,-8.25,-6.84375
115,cds,210,44,1,False,-1.0390625,-1.59375,-1.3125,-0.79296875,-1.7734375,-1.5859375,-1.5703125,-1.9765625
116,upstream,120,134,3,True,-1.4921875,-0.76953125,-1.59375,-1.8125,-1.7109375,-1.8046875,-0.9375,-1.5703125
117,downstream,76,178,1,True,-2.875,-2.5625,-1.65625,-0.8984375,-0.412109375,-0.79296875,-2.40625,-2.765625
118,enhancer,234,20,0,False,-0.8046875,-1.453125,-1.9921875,-0.96484375,-2.40625,-2.109375,-1.1171875,-1.328125
119,ncrna,113,141,0,False,-0.423828125,-1.1171875,-4.625,-3.5625,-1.171875,-0.498046875,-3.703125,-3.265625
120,cds,244,10,0,True,-0.01263427734375,-1.40625,-6.9375,-1.2578125,-5.375,-1.5234375,-4.96875,-1.375
121,upstream,37,217,3,False,-1.6171875,-1.7109375,-1.3515625,-1.390625,-1.4296875,-1.5078125,-1.1875,-1.046875
122,downstream,229,25,0,False,-1.09375,-1.15625,-1.484375,-1.421875,-1.5078125,-1.484375,-1.53125,-1.5234375
123,enhancer,206,48,0,False,-0.890625,-1.2109375,-1.59375,-2.5625,-3.421875,-1.5234375,-1.0390625,-0.89453125
124,ncrna,133,121,3,False,-5.75,-4.9375,-5.96875,-2.109375,-5.9375,-4.8125,-0.0084228515625,-0.1474609375
125,cds,100,154,2,False,-3.015625,-1.984375,-4.125,-4.125,-0.10205078125,-0.1689453125,-3.453125,-6.5
126,upstream,112,142,2,False,-0.91796875,-1.2578125,-2.0625,-1.578125,-1.4140625,-1.4375,-1.46875,-1.3046875
127,downstream,87,167,2,False,-1.6640625,-1.0546875,-1.1015625,-1.3984375,-1.328125,-1.171875,-1.546875,-2.359375
128,enhancer,228,26,0,False,-0.14453125,-1.4140625,-3.75,-1.359375,-2.296875,-1.4296875,-4.59375,-1.3515625
129,ncrna,242,12,0,False,-0.330078125,-0.83203125,-3.53125,-1.34375,-1.6484375,-1.7734375,-2.84375,-2.015625
130,cds,213,41,2,False,-3.453125,-3.09375,-6.03125,-1.109375,-0.03466796875,-0.55078125,-8.4375,-3.015625
131,upstream,219,35,1,False,-2.53125,-2.484375,-0.84765625,-0.703125,-1.078125,-1.015625,-1.8984375,-2.828125
132,downstream,122,132,1,True,-0.73828125,-2.390625,-1.90625,-0.1884765625,-3.265625,-3.640625,-1.09375,-2.90625
133,enhancer,53,201,3,True,-1.140625,-1.3984375,-2.015625,-1.5234375,-1.59375,-1.4375,-1.0625,-1.2109375
134,ncrna,137,117,3,False,-1.8046875,-3.609375,-1.3984375,-3.609375,-1.046875,-3.65625,-1.4453125,-0.08349609375
135,cds,24,230,1,False,-3.109375,-4.53125,-0.318359375,-0.154296875,-2.125,-3.703125,-2.234375,-2.234375
136,upstream,46,208,2,False,-1.265625,-1.3671875,-1.65625,-1.296875,-0.95703125,-1.515625,-1.953125,-1.375
137,downstream,149,105,1,False,-1.453125,-1.40625,-1.96875,-1.7578125,-0.7734375,-1.8046875,-1.8046875,-0.87109375
138,enhancer,123,131,3,True,-1.6640625,-1.1015625,-1.703125,-2.46875,-1.8828125,-1.7734375,-0.7421875,-0.87890625
139,ncrna,159,95,1,True,-1.46875,-1.2734375,-1.3359375,-1.6484375,-1.3671875,-1.84375,-1.3828125,-0.9921875
140,cds,233,21,0,True,-0.7421875,-0.61328125,-3.984375,-3.515625,-0.75,-1.25,-3.4375,-1.953125
141,upstream,209,45,0,True,-0.85546875,-1.515625,-1.8671875,-1.6171875,-1.6640625,-1.7890625,-1.46875,-0.8828125
142,downstream,48,206,0,False,-1.2109375,-1.421875,-1.8671875,-1.5703125,-1.6015625,-1.625,-1.0625,-1.03125
143,enhancer,108,146,3,False,-1.1171875,-1.0234375,-1.734375,-1.9140625,-1.7109375,-2.046875,-1.15625,-1.0078125
144,ncrna,71,183,1,False,-5.28125,-4.75,-0.0279541015625,-0.033447265625,-5.25,-5.03125,-4.0625,-4.03125
145,cds,9,245,1,False,-0.89453125,-1.484375,-1.6875,-1.765625,-2.171875,-1.1875,-1.2265625,-1.2109375
146,upstream,121,133,0,False,-1.109375,-1.3203125,-1.6484375,-1.078125,-1.6015625,-1.40625,-1.28125,-1.921875
147,downstream,18,236,1,False,-1.609375,-1.1953125,-1.6171875,-1.796875,-1.71875,-1.6796875,-0.86328125,-1.0625
148,enhancer,181,73,2,False,-0.6640625,-1.7421875,-2.03125,-1.296875,-1.578125,-1.7890625,-1.9140625,-0.95703125
149,ncrna,170,84,1,False,-3.25,-3.109375,-0.166015625,-0.1552734375,-3.328125,-2.5625,-2.546875,-3.796875
150,cds,71,183,3,False,-1.6953125,-1.9140625,-1.4921875,-1.0546875,-1.4765625,-1.28125,-1.015625,-1.484375
151,upstream,32,222,0,False,-1.2890625,-1.1015625,-1.3671875,-1.578125,-1.3046875,-1.828125,-1.6171875,-1.1953125
152,downstream,127,127,0,False,-0.98046875,-1.5859375,-1.890625,-1.5234375,-1.3125,-1.78125,-1.5859375,-0.89453125
153,enhancer,243,11,0,False,-1.640625,-1.296875,-1.3359375,-1.828125,-1.578125,-1.4921875,-1.09375,-1.078125
154,ncrna,189,65,1,False,-7.78125,-7.9375,-0.004150390625,-0.00098419189453125,-7.28125,-8.75,-5.8125,-7.6875
155,cds,254,0,0,False,-1.3203125,-1.3203125,-1.2890625,-1.4765625,-1.4609375,-1.4609375,-1.484375,-1.296875
156,upstream,49,205,3,False,-1.015625,-1.171875,-1.7421875,-1.484375,-1.78125,-1.59375,-1.2265625,-1.3359375
157,downstream,97,157,3,False,-1.2578125,-1.4765625,-1.4609375,-1.4453125,-1.609375,-1.46875,-1.2578125,-1.1796875
158,enhancer,188,66,1,False,-1.84375,-1.71875,-1.4296875,-1.0703125,-0.87890625,-1.6328125,-1.6796875,-1.2578125
159,ncrna,233,21,0,False,-3.03125,-1.765625,-6.125,-4.4375,-0.0546875,-0.212890625,-5.96875,-4.71875
160,cds,66,188,2,False,-3.0625,-3.140625,-2.046875,-5.09375,-0.2470703125,-0.052978515625,-3.15625,-6.28125
161,upstream,85,169,0,False,-1.0,-1.34375,-1.3046875,-2.59375,-2.796875,-1.390625,-1.2109375,-0.8828125
162,downstream,214,40,2,True,-2.46875,-1.703125,-2.859375,-1.5703125,-1.4921875,-1.390625,-0.455078125,-1.015625
163,enhancer,10,244,2,False,-1.2578125,-1.265625,-1.7109375,-1.296875,-1.296875,-1.21875,-1.34375,-1.8984375
164,ncrna,216,38,1,False,-6.0625,-5.1875,-0.012939453125,-0.0238037109375,-5.96875,-5.09375,-4.8125,-4.4375
165,cds,175,79,1,False,-1.359375,-1.3515625,-1.4453125,-1.4921875,-1.1953125,-1.40625,-1.5859375,-1.3046875
166,upstream,18,236,2,True,-1.84375,-1.2265625,-0.70703125,-1.375,-1.6328125,-1.28125,-1.875,-1.7421875
167,downstream,89,165,2,False,-1.3203125,-0.90234375,-1.296875,-2.703125,-1.5078125,-1.5234375,-1.4296875,-1.1640625
168,enhancer,24,230,2,False,-2.21875,-1.1484375,-1.4375,-3.078125,-0.75390625,-1.421875,-1.6953125,-0.92578125
169,ncrna,59,195,1,False,-7.28125,-9.0625,-0.0157470703125,-0.0002574920654296875,-8.375,-9.5625,-4.21875,-9.625
170,cds,243,11,1,False,-1.109375,-1.015625,-1.75,-1.828125,-1.1796875,-1.390625,-1.6640625,-1.484375
171,upstream,121,133,3,False,-1.5078125,-1.3203125,-1.421875,-1.15625,-2.21875,-1.6796875,-0.84765625,-1.4609375
172,downstream,109,145,3,False,-1.0234375,-1.5703125,-1.7421875,-1.515625,-1.6875,-2.171875,-1.2734375,-0.78125
173,enhancer,155,99,3,False,-1.921875,-1.7578125,-1.2734375,-0.7109375,-1.015625,-1.421875,-1.5546875,-2.359375
174,ncrna,62,192,3,False,-4.78125,-3.515625,-4.78125,-3.890625,-3.5625,-2.96875,-0.0458984375,-0.10693359375
175,cds,136,118,0,False,-1.1640625,-1.2109375,-1.640625,-1.9296875,-1.359375,-1.890625,-1.4375,-0.90234375
176,upstream,118,136,0,False,-1.21875,-1.3203125,-1.7578125,-1.203125,-1.5390625,-1.2578125,-1.1484375,-1.90625
177,downstream,184,70,3,True,-0.9453125,-2.4375,-3.671875,-2.734375,-3.265625,-2.0,-0.6015625,-0.337890625
178,enhancer,122,132,0,False,-0.6328125,-1.2421875,-1.8046875,-1.3203125,-1.796875,-1.46875,-1.9765625,-1.53125
179,ncrna,178,76,3,True,-4.46875,-3.796875,-0.3125,-3.34375,-4.84375,-4.53125,-1.390625,-0.07080078125
180,cds,222,32,1,False,-4.5,-1.359375,-0.3125,-1.2421875,-2.859375,-1.453125,-1.609375,-1.5078125
181,upstream,19,235,2,False,-1.21875,-0.9921875,-1.421875,-1.84375,-1.4375,-1.8125,-1.4921875,-1.1796875
182,downstream,9,245,3,False,-1.1640625,-1.1015625,-1.5625,-1.453125,-1.78125,-1.859375,-1.171875,-1.28125
183,enhancer,109,145,3,False,-1.859375,-1.046875,-1.34375,-1.6953125,-1.125,-1.5859375,-1.359375,-1.34375
184,ncrna,38,216,0,False,-1.15625,-0.03759765625,-1.6015625,-6.1875,-1.6328125,-3.515625,-1.2421875,-5.28125
185,cds,159,95,2,False,-1.625,-1.9296875,-1.7421875,-1.21875,-1.125,-1.8125,-1.1953125,-0.92578125
186,upstream,74,180,1,False,-1.484375,-0.87109375,-1.1796875,-1.796875,-1.9375,-1.3359375,-1.125,-1.875
187,downstream,198,56,3,False,-0.97265625,-0.94140625,-1.6875,-1.75,-2.484375,-1.6171875,-1.0390625,-1.4375
188,enhancer,244,10,2,True,-0.98828125,-1.203125,-2.03125,-3.1875,-1.125,-0.95703125,-1.765625,-1.296875
189,ncrna,190,64,3,False,-5.46875,-4.6875,-3.6875,-4.59375,-5.46875,-3.59375,-0.033935546875,-0.04833984375
190,cds,62,192,3,False,-1.28125,-1.421875,-1.8828125,-2.703125,-1.640625,-2.234375,-0.9765625,-0.53515625
191,upstream,47,207,3,True,-1.4140625,-2.25,-0.99609375,-0.87109375,-2.40625,-1.171875,-1.2109375,-1.7890625
192,downstream,92,162,0,False,-1.0859375,-1.4921875,-1.6171875,-1.1171875,-1.4921875,-1.1484375,-1.421875,-2.015625
193,enhancer,181,73,3,False,-4.0,-2.03125,-3.03125,-1.2265625,-4.34375,-0.96875,-0.0830078125,-1.625
194,ncrna,166,88,0,True,-0.66015625,-0.0267333984375,-1.96875,-5.25,-3.78125,-4.21875,-1.1328125,-5.0625
195,cds,124,130,0,False,-3.25,-0.498046875,-1.546875,-2.109375,-2.390625,-1.5234375,-0.419921875,-2.921875
196,upstream,45,209,3,True,-1.171875,-1.171875,-1.640625,-2.25,-1.4375,-1.84375,-1.34375,-0.8515625
197,downstream,224,30,3,False,-0.9296875,-1.09375,-1.8828125,-1.453125,-1.609375,-1.5703125,-1.3671875,-1.5
198,enhancer,49,205,0,False,-0.875,-1.1875,-1.8984375,-1.6875,-1.7109375,-1.6875,-1.375,-1.125
199,ncrna,47,207,2,False,-2.0,-0.6640625,-1.7109375,-3.984375,-0.7734375,-0.78125,-1.5,-4.90625
200,cds,22,232,2,False,-1.3203125,-3.40625,-1.5625,-2.484375,-1.4453125,-0.14453125,-1.2421875,-4.03125
201,upstream,64,190,3,False,-1.1171875,-1.0390625,-1.65625,-2.40625,-1.3984375,-1.359375,-1.453125,-1.203125
202,downstream,208,46,0,True,-1.203125,-1.3359375,-1.5703125,-1.7265625,-1.359375,-1.859375,-1.453125,-0.91015625
203,enhancer,80,174,2,False,-0.98828125,-1.3046875,-1.640625,-1.2421875,-1.4140625,-1.5390625,-1.6640625,-1.4921875
204,ncrna,229,25,2,False,-3.828125,-2.078125,-1.5390625,-1.703125,-0.291015625,-0.435546875,-4.125,-3.078125
205,cds,199,55,0,False,-1.5625,-1.734375,-0.9140625,-2.015625,-1.75,-0.61328125,-1.53125,-1.8984375
206,upstream,104,150,1,False,-2.5,-2.703125,-2.0,-1.1796875,-0.6015625,-0.86328125,-1.4453125,-1.59375
207,downstream,120,134,1,False,-1.640625,-1.6015625,-1.3828125,-1.3671875,-1.609375,-1.765625,-1.0390625,-0.98828125
208,enhancer,169,85,0,False,-1.234375,-0.5234375,-1.484375,-3.921875,-1.421875,-1.703125,-1.4140625,-1.5859375
209,ncrna,117,137,0,False,-0.0185546875,-0.12353515625,-4.875,-3.09375,-4.90625,-3.34375,-5.71875,-3.328125
